Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
288,ZINC000000001574_docked,N/A,-6.180,ZINC000000001574_docked.dlg,True
289,ZINC000000008956_docked,N/A,-6.180,ZINC000000008956_docked.dlg,True
290,ZINC000000001379_docked,N/A,-6.170,ZINC000000001379_docked.dlg,True
291,ZINC000000000949_docked,N/A,-6.170,ZINC000000000949_docked.dlg,True
292,ZINC000000001767_docked,N/A,-6.160,ZINC000000001767_docked.dlg,True
293,ZINC000000001259_docked,N/A,-6.160,ZINC000000001259_docked.dlg,True
294,ZINC000000006642_docked,N/A,-6.160,ZINC000000006642_docked.dlg,True
295,ZINC000000000018_docked,N/A,-6.150,ZINC000000000018_docked.dlg,True
296,ZINC000000002966_docked,N/A,-6.150,ZINC000000002966_docked.dlg,True
297,ZINC000000006109_docked,N/A,-6.130,ZINC000000006109_docked.dlg,False
298,ZINC000000000796_docked,N/A,-6.130,ZINC000000000796_docked.dlg,True
299,ZINC000000002824_docked,N/A,-6.110,ZINC000000002824_docked.dlg,True
300,ZINC000000001974_docked,N/A,-6.110,ZINC000000001974_docked.dlg,False
301,ZINC000000001290_docked,N/A,-6.100,ZINC000000001290_docked.dlg,True
302,ZINC000000003546_docked,N/A,-6.090,ZINC000000003546_docked.dlg,True
303,ZINC000000001958_docked,N/A,-6.090,ZINC000000001958_docked.dlg,True
304,ZINC000000000829_docked,N/A,-6.060,ZINC000000000829_docked.dlg,True
305,ZINC000000000868_docked,N/A,-6.060,ZINC000000000868_docked.dlg,True
306,ZINC000000001059_docked,N/A,-6.050,ZINC000000001059_docked.dlg,True
307,ZINC000000002016_docked,N/A,-6.050,ZINC000000002016_docked.dlg,True
308,ZINC000000002115_docked,N/A,-6.050,ZINC000000002115_docked.dlg,True
309,ZINC000000004029_docked,N/A,-6.040,ZINC000000004029_docked.dlg,True
310,ZINC000000002434_docked,N/A,-6.030,ZINC000000002434_docked.dlg,True
311,ZINC000000003441_docked,N/A,-6.020,ZINC000000003441_docked.dlg,True
312,ZINC000000005656_docked,N/A,-6.020,ZINC000000005656_docked.dlg,True
313,ZINC000000004636_docked,N/A,-6.010,ZINC000000004636_docked.dlg,True
314,ZINC000000002428_docked,N/A,-6.010,ZINC000000002428_docked.dlg,True
315,ZINC000000001083_docked,N/A,-6.000,ZINC000000001083_docked.dlg,True
316,ZINC000000004897_docked,N/A,-6.000,ZINC000000004897_docked.dlg,True
317,ZINC000000001293_docked,N/A,-6.000,ZINC000000001293_docked.dlg,False
318,ZINC000000000024_docked,N/A,-5.970,ZINC000000000024_docked.dlg,True
319,ZINC000000003695_docked,N/A,-5.970,ZINC000000003695_docked.dlg,True
320,ZINC000000001693_docked,N/A,-5.960,ZINC000000001693_docked.dlg,True
321,ZINC000000001093_docked,N/A,-5.960,ZINC000000001093_docked.dlg,True
322,ZINC000000001318_docked,N/A,-5.960,ZINC000000001318_docked.dlg,True
323,ZINC000000001106_docked,N/A,-5.950,ZINC000000001106_docked.dlg,True
324,ZINC000000004150_docked,N/A,-5.930,ZINC000000004150_docked.dlg,True
325,ZINC000000001690_docked,N/A,-5.930,ZINC000000001690_docked.dlg,True
