Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
85,ZINC000507597697_docked,CS(=O)(=O)c1cc(S[C@H](c2ccccc2)c2ccc(F)cc2)ccc1[N+](=O)[O-],-10.47,ZINC000507597697_docked.dlg,TRUE
86,ZINC000831333729_docked,CCC[C@@H](NS(=O)(=O)Cc1ccc(F)cc1C#N)[C@H](O)c1ccccc1,-10.47,ZINC000831333729_docked.dlg,FALSE
87,ZINC000490230548_docked,Cc1ccc(C(=O)Nc2ccccc2Oc2cccc(F)c2)cc1S(C)(=O)=O,-10.47,ZINC000490230548_docked.dlg,TRUE
88,ZINC000055971114_docked,Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)NC[C@H](c1cccc(F)c1)N(C)C,-10.47,ZINC000055971114_docked.dlg,TRUE
89,ZINC000498266570_docked,CCc1ccc(C(=O)Nc2cc(F)ccc2Oc2ccccc2)cc1S(C)(=O)=O,-10.46,ZINC000498266570_docked.dlg,TRUE
90,ZINC000730205945_docked,CS(=O)(=O)c1ccccc1-n1cc(NS(=O)(=O)c2cc(F)ccc2[N+](=O)[O-])cn1,-10.46,ZINC000730205945_docked.dlg,TRUE
91,ZINC000519337115_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)NC[C@H](c2cccc(F)c2)N(C)C)c1,-10.45,ZINC000519337115_docked.dlg,TRUE
92,ZINC001211973598_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@@H]1CCC[C@@H]1c1ccccc1,-10.45,ZINC001211973598_docked.dlg,FALSE
93,ZINC000577433000_docked,Cc1ccccc1CN1CCC(NS(=O)(=O)Cc2ccc(F)cc2C#N)CC1,-10.45,ZINC000577433000_docked.dlg,TRUE
94,ZINC000425139807_docked,CCc1ccc(C(=O)N(C)[C@@H](C)c2cccc(C#N)c2)cc1S(C)(=O)=O,-10.44,ZINC000425139807_docked.dlg,TRUE
95,ZINC000539083613_docked,COc1cc([C@H](C)N[C@H](CC2CCCCC2)c2ccccc2)ccc1S(C)(=O)=O,-10.44,ZINC000539083613_docked.dlg,TRUE
96,ZINC001211509743_docked,CS(=O)(=O)c1ccc(CNS(=O)(=O)[C@H]2C[C@H]2c2cccc(F)c2)cc1Cl,-10.44,ZINC001211509743_docked.dlg,FALSE
97,ZINC001186118320_docked,CC(C)Oc1ccc(F)cc1S(=O)(=O)NCc1ccccc1Oc1ccccc1,-10.43,ZINC001186118320_docked.dlg,FALSE
98,ZINC000557372926_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@H]2C[C@H]2c2cccc(F)c2)c1,-10.43,ZINC000557372926_docked.dlg,TRUE
99,ZINC000071824095_docked,CN(C(=O)c1cccc(C#N)c1)[C@@H](c1ccccc1)c1ccc(F)cc1,-10.42,ZINC000071824095_docked.dlg,TRUE
100,ZINC000490004411_docked,Cc1cc(F)ccc1C1CCN(S(=O)(=O)c2cc(C#N)ccc2C)CC1,-10.42,ZINC000490004411_docked.dlg,TRUE
101,ZINC000507632775_docked,CS(=O)(=O)c1cc(SC(c2ccc(F)cc2)c2ccc(F)cc2)ccc1[N+](=O)[O-],-10.42,ZINC000507632775_docked.dlg,TRUE
102,ZINC000767510115_docked,Cc1cc(S(=O)(=O)N2CCC[C@H]2C[C@@H](O)c2ccc(F)cc2)ccc1C#N,-10.42,ZINC000767510115_docked.dlg,TRUE
103,ZINC001186714601_docked,CO[C@@H](CS(=O)(=O)NCc1ccccc1Oc1cccc(F)c1)c1ccccc1,-10.42,ZINC001186714601_docked.dlg,FALSE
104,ZINC000519152647_docked,CS(=O)(=O)c1ccccc1S(=O)(=O)NC[C@@H](c1cccc(F)c1)N1CCOCC1,-10.42,ZINC000519152647_docked.dlg,TRUE
105,ZINC001110620418_docked,CCS(=O)(=O)NCC(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2Cc1ccccc1C#N,-10.41,ZINC001110620418_docked.dlg,FALSE
106,ZINC000726345535_docked,CS(=O)(=O)c1cc(C(=O)O[C@@H](c2ccccc2)c2cccc(F)c2)cc([N+](=O)[O-])c1,-10.41,ZINC000726345535_docked.dlg,TRUE
107,ZINC000158293040_docked,Cc1ccc(C#N)cc1S(=O)(=O)N1CCC([C@@H](O)c2ccccc2)CC1,-10.41,ZINC000158293040_docked.dlg,TRUE
108,ZINC000570737525_docked,N#Cc1cc(F)ccc1CS(=O)(=O)NCc1ccccc1CN1CCOCC1,-10.4,ZINC000570737525_docked.dlg,TRUE
109,ZINC000068738811_docked,CS(=O)(=O)c1ccccc1C(=O)NCc1ccccc1Oc1ccccc1,-10.4,ZINC000068738811_docked.dlg,TRUE
110,ZINC000550657491_docked,CS(=O)(=O)c1ccccc1CC(=O)Nc1ccccc1Oc1cc(F)cc(F)c1,-10.4,ZINC000550657491_docked.dlg,TRUE
111,ZINC001131657464_docked,CS(=O)(=O)c1cc(OC(=O)c2ccccc2-c2ccccc2C#N)ccc1F,-10.4,ZINC001131657464_docked.dlg,FALSE
112,ZINC001188987334_docked,CCC1(CNS(=O)(=O)Cc2ccc(F)cc2C#N)CCCCC1,-10.4,ZINC001188987334_docked.dlg,FALSE
113,ZINC000125557768_docked,CS(=O)(=O)c1cc(N2CCC3(CCCCC3)C2)ccc1[N+](=O)[O-],-10.4,ZINC000125557768_docked.dlg,TRUE
114,ZINC000530576763_docked,CC[C@@H](C)[C@@H](NS(C)(=O)=O)C(=O)NCc1ccccc1Oc1cccc(F)c1,-10.39,ZINC000530576763_docked.dlg,TRUE
115,ZINC000443941200_docked,Cc1ccc(CNS(=O)(=O)c2cccc(C)c2C#N)cc1S(C)(=O)=O,-10.39,ZINC000443941200_docked.dlg,TRUE
116,ZINC001214596876_docked,CS(=O)(=O)c1ccccc1CNC(=O)Nc1cccc(COc2cccc(F)c2)c1,-10.39,ZINC001214596876_docked.dlg,FALSE
117,ZINC000294324886_docked,C[C@@H](O)C[C@H](CNS(=O)(=O)Cc1ccc(F)cc1C#N)c1ccccc1,-10.39,ZINC000294324886_docked.dlg,TRUE
